Reservoir_name,Basin,subbasin,Agency_name,Lat,Long,Date,Year,Month,Full_reservoir_level,Live_capacity_FRL,Storage,Level
Bhadar Reservoir,West flowing rivers of Kutch and Saurashtra including Luni Basin,NA,CWC,21.81878581,70.80816294,18-06-2024,2024,6,107.89,0.188,0.01524,100.92
Bhadar Reservoir,West flowing rivers of Kutch and Saurashtra including Luni Basin,NA,CWC,21.81878581,70.80816294,24-06-2024,2024,6,107.89,0.188,0.01382,100.74
Bhadar Reservoir,West flowing rivers of Kutch and Saurashtra including Luni Basin,NA,CWC,21.81878581,70.80816294,29-06-2024,2024,6,107.89,0.188,0.01265,100.58
Bhadra Reservoir,Krishna Basin,NA,CWC,13.64683326,75.57523868,01-06-2024,2024,6,657.76,1.785,0.16594,636.803
Bhadra Reservoir,Krishna Basin,NA,CWC,13.64683326,75.57523868,04-06-2024,2024,6,657.76,1.785,0.16594,636.81
Bhadra Reservoir,Krishna Basin,NA,CWC,13.64683326,75.57523868,08-06-2024,2024,6,657.76,1.785,0.16679,636.828
Bhadra Reservoir,Krishna Basin,NA,CWC,13.64683326,75.57523868,09-06-2024,2024,6,657.76,1.785,0.16735,636.84
Bhadra Reservoir,Krishna Basin,NA,CWC,13.64683326,75.57523868,12-06-2024,2024,6,657.76,1.785,0.17698,637.081
Bhadra Reservoir,Krishna Basin,NA,CWC,13.64683326,75.57523868,15-06-2024,2024,6,657.76,1.785,0.18548,637.294
Bhadra Reservoir,Krishna Basin,NA,CWC,13.64683326,75.57523868,18-06-2024,2024,6,657.76,1.785,0.18689,637.328
Bhadra Reservoir,Krishna Basin,NA,CWC,13.64683326,75.57523868,20-06-2024,2024,6,657.76,1.785,0.18831,637.367
Bhadra Reservoir,Krishna Basin,NA,CWC,13.64683326,75.57523868,23-06-2024,2024,6,657.76,1.785,0.19142,637.431
Bhadra Reservoir,Krishna Basin,NA,CWC,13.64683326,75.57523868,24-06-2024,2024,6,657.76,1.785,0.19227,637.462
Bhadra Reservoir,Krishna Basin,NA,CWC,13.64683326,75.57523868,25-06-2024,2024,6,657.76,1.785,0.1951,637.526
Bhadra Reservoir,Krishna Basin,NA,CWC,13.64683326,75.57523868,29-06-2024,2024,6,657.76,1.785,0.24381,638.657
Bhandardara,Godavari Basin,NA,CWC,19.53360841,73.73667121,02-06-2024,2024,6,744.91,0.304,0.02115,710.65
Bhandardara,Godavari Basin,NA,CWC,19.53360841,73.73667121,03-06-2024,2024,6,744.91,0.304,0.0211,710.64
Bhandardara,Godavari Basin,NA,CWC,19.53360841,73.73667121,05-06-2024,2024,6,744.91,0.304,0.0211,710.64
Bhandardara,Godavari Basin,NA,CWC,19.53360841,73.73667121,09-06-2024,2024,6,744.91,0.304,0.02144,710.76
Bhandardara,Godavari Basin,NA,CWC,19.53360841,73.73667121,11-06-2024,2024,6,744.91,0.304,0.02209,710.99
Bhatghar,Krishna Basin,NA,CWC,18.19950638,73.77891971,01-06-2024,2024,6,623.28,0.673,0.06087,599
Bhatghar,Krishna Basin,NA,CWC,18.19950638,73.77891971,03-06-2024,2024,6,623.28,0.673,NA,NA
Bhatghar,Krishna Basin,NA,CWC,18.19950638,73.77891971,09-06-2024,2024,6,623.28,0.673,NA,NA
Bhatghar,Krishna Basin,NA,CWC,18.19950638,73.77891971,14-06-2024,2024,6,623.28,0.673,NA,NA
Bhatghar,Krishna Basin,NA,CWC,18.19950638,73.77891971,28-06-2024,2024,6,623.28,0.673,NA,NA
Bhatghar,Krishna Basin,NA,CWC,18.19950638,73.77891971,29-06-2024,2024,6,623.28,0.673,NA,NA
Bhatsa,West flowing rivers from Tapi to Tadri Basin,NA,CWC,19.53243081,73.44134616,02-06-2024,2024,6,142.07,0.942,0.24901,106.8
Bhatsa,West flowing rivers from Tapi to Tadri Basin,NA,CWC,19.53243081,73.44134616,18-06-2024,2024,6,142.07,0.942,0.21156,103.85
Bhatsa,West flowing rivers from Tapi to Tadri Basin,NA,CWC,19.53243081,73.44134616,20-06-2024,2024,6,142.07,0.942,0.20706,103.55
Bhima\Ujjani Reservoir,Krishna Basin,NA,CWC,18.20876823,75.0103563,02-06-2024,2024,6,496.83,1.517,NA,NA
Bhima\Ujjani Reservoir,Krishna Basin,NA,CWC,18.20876823,75.0103563,09-06-2024,2024,6,496.83,1.517,NA,NA
Bhima\Ujjani Reservoir,Krishna Basin,NA,CWC,18.20876823,75.0103563,14-06-2024,2024,6,496.83,1.517,NA,NA
Bhima\Ujjani Reservoir,Krishna Basin,NA,CWC,18.20876823,75.0103563,24-06-2024,2024,6,496.83,1.517,NA,NA
