Reservoir_name,Basin,subbasin,Agency_name,Lat,Long,Date,Year,Month,Full_reservoir_level,Live_capacity_FRL,Storage,Level
Upper Vaitarana Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,19.82196378,73.54032901,2022-09-19,2022,09,603.5,0.331,0.33046,603.474
Upper Vaitarana Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,19.82196378,73.54032901,2022-09-23,2022,09,603.5,0.331,0.33088,603.49
Upper Vaitarana Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,19.82196378,73.54032901,2022-09-25,2022,09,603.5,0.331,0.33046,603.474
Upper Vaitarana Reservoir,West flowing rivers from Tapi to Tadri Basin,NA,CWC,19.82196378,73.54032901,2022-09-29,2022,09,603.5,0.331,0.33046,603.47
Upper Wardha Reservoir,Godavari Basin,NA,CWC,21.31909859,78.08561676,2022-09-05,2022,09,342.5,0.564,0.5412,342.25
Upper Wardha Reservoir,Godavari Basin,NA,CWC,21.31909859,78.08561676,2022-09-09,2022,09,342.5,0.564,0.53674,342.2
Upper Wardha Reservoir,Godavari Basin,NA,CWC,21.31909859,78.08561676,2022-09-22,2022,09,342.5,0.564,0.54842,342.33
Upper Wardha Reservoir,Godavari Basin,NA,CWC,21.31909859,78.08561676,2022-09-25,2022,09,342.5,0.564,0.54842,342.33
Upper Wardha Reservoir,Godavari Basin,NA,CWC,21.31909859,78.08561676,2022-09-26,2022,09,342.5,0.564,0.54842,342.33
Urmodi,Krishna Basin,NA,CWC,17.67007656,73.89101773,2022-09-02,2022,09,696.0,0.273,NA,NA
Urmodi,Krishna Basin,NA,CWC,17.67007656,73.89101773,2022-09-06,2022,09,696.0,0.273,0.26013,695.16
Urmodi,Krishna Basin,NA,CWC,17.67007656,73.89101773,2022-09-08,2022,09,696.0,0.273,0.26044,695.18
Urmodi,Krishna Basin,NA,CWC,17.67007656,73.89101773,2022-09-17,2022,09,696.0,0.273,0.27076,695.84
Urmodi,Krishna Basin,NA,CWC,17.67007656,73.89101773,2022-09-26,2022,09,696.0,0.273,0.27264,695.96
Vagai Reservoir,East flowing rivers between Pennar and Kanyakumari Basin,NA,CWC,10.05277902,77.56976664,2022-09-04,2022,09,279.2,0.172,0.16508,278.899
Vagai Reservoir,East flowing rivers between Pennar and Kanyakumari Basin,NA,CWC,10.05277902,77.56976664,2022-09-09,2022,09,279.2,0.172,0.17015,279.106
Vagai Reservoir,East flowing rivers between Pennar and Kanyakumari Basin,NA,CWC,10.05277902,77.56976664,2022-09-14,2022,09,279.2,0.172,0.16831,279.03
Vagai Reservoir,East flowing rivers between Pennar and Kanyakumari Basin,NA,CWC,10.05277902,77.56976664,2022-09-21,2022,09,279.2,0.172,NA,NA
Vagai Reservoir,East flowing rivers between Pennar and Kanyakumari Basin,NA,CWC,10.05277902,77.56976664,2022-09-24,2022,09,279.2,0.172,0.16389,278.85
Vagai Reservoir,East flowing rivers between Pennar and Kanyakumari Basin,NA,CWC,10.05277902,77.56976664,2022-09-27,2022,09,279.2,0.172,0.16389,278.85
Vanivilasa Sagar,Krishna Basin,NA,CWC,13.84343578,76.43549483,2022-09-04,2022,09,652.28,0.802,0.79663,652.73
Vanivilasa Sagar,Krishna Basin,NA,CWC,13.84343578,76.43549483,2022-09-09,2022,09,652.28,0.802,0.79663,653.81
Vanivilasa Sagar,Krishna Basin,NA,CWC,13.84343578,76.43549483,2022-09-11,2022,09,652.28,0.802,0.79663,653.75
Vanivilasa Sagar,Krishna Basin,NA,CWC,13.84343578,76.43549483,2022-09-14,2022,09,652.28,0.802,0.79663,653.44
Vanivilasa Sagar,Krishna Basin,NA,CWC,13.84343578,76.43549483,2022-09-26,2022,09,652.28,0.802,0.79663,652.833
Watrak,Sabarmati Basin,NA,CWC,23.32979836,73.45504616,2022-09-02,2022,09,136.25,0.154,0.10387,135
Watrak,Sabarmati Basin,NA,CWC,23.32979836,73.45504616,2022-09-04,2022,09,136.25,0.154,0.10509,135.05
Watrak,Sabarmati Basin,NA,CWC,23.32979836,73.45504616,2022-09-14,2022,09,136.25,0.154,0.10946,135.23
Watrak,Sabarmati Basin,NA,CWC,23.32979836,73.45504616,2022-09-15,2022,09,136.25,0.154,0.11481,135.45
Watrak,Sabarmati Basin,NA,CWC,23.32979836,73.45504616,2022-09-17,2022,09,136.25,0.154,0.12429,135.84
Watrak,Sabarmati Basin,NA,CWC,23.32979836,73.45504616,2022-09-21,2022,09,136.25,0.154,0.12745,135.98
Watrak,Sabarmati Basin,NA,CWC,23.32979836,73.45504616,2022-09-25,2022,09,136.25,0.154,0.12851,136.02
Watrak,Sabarmati Basin,NA,CWC,23.32979836,73.45504616,2022-09-29,2022,09,136.25,0.154,0.12935,136.07
Yeldari Reservoir,Godavari Basin,NA,CWC,19.75202254,76.71374568,2022-09-03,2022,09,461.77,0.809,0.7518,461.2
Yeldari Reservoir,Godavari Basin,NA,CWC,19.75202254,76.71374568,2022-09-28,2022,09,461.77,0.809,0.80814,461.772
Yeleru,East flowing rivers between Mahanadi and Pennar Basin,NA,CWC,17.30370292,82.0514406,2022-09-02,2022,09,86.56,0.508,0.19142,79.55
Yeleru,East flowing rivers between Mahanadi and Pennar Basin,NA,CWC,17.30370292,82.0514406,2022-09-08,2022,09,86.56,0.508,0.18972,79.5
Yeleru,East flowing rivers between Mahanadi and Pennar Basin,NA,CWC,17.30370292,82.0514406,2022-09-16,2022,09,86.56,0.508,0.24437,81.18
Yeleru,East flowing rivers between Mahanadi and Pennar Basin,NA,CWC,17.30370292,82.0514406,2022-09-18,2022,09,86.56,0.508,0.24918,81.31
Yeleru,East flowing rivers between Mahanadi and Pennar Basin,NA,CWC,17.30370292,82.0514406,2022-09-25,2022,09,86.56,0.508,0.27014,81.86
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,NA,CWC,10.47266817,76.97459708,2022-10-05,2022,10,320.04,0.095,0.09048,319.278
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,NA,CWC,10.47266817,76.97459708,2022-10-09,2022,10,320.04,0.095,0.09246,319.583
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,NA,CWC,10.47266817,76.97459708,2022-10-12,2022,10,320.04,0.095,0.09316,319.689
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,NA,CWC,10.47266817,76.97459708,2022-10-14,2022,10,320.04,0.095,NA,NA
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,NA,CWC,10.47266817,76.97459708,2022-10-26,2022,10,320.04,0.095,0.09276,319.629
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,NA,CWC,10.47266817,76.97459708,2022-10-27,2022,10,320.04,0.095,0.09286,319.644
Almatti Reservoir,Krishna Basin,NA,CWC,16.34679294,75.73004306,2022-10-05,2022,10,519.6,3.105,3.068,519.6
Almatti Reservoir,Krishna Basin,NA,CWC,16.34679294,75.73004306,2022-10-11,2022,10,519.6,3.105,3.068,519.6
Almatti Reservoir,Krishna Basin,NA,CWC,16.34679294,75.73004306,2022-10-13,2022,10,519.6,3.105,3.068,519.58
Almatti Reservoir,Krishna Basin,NA,CWC,16.34679294,75.73004306,2022-10-14,2022,10,519.6,3.105,3.073,519.47
Balimela Reservoir,Godavari Basin,NA,CWC,18.22494359,82.20423569,2022-10-08,2022,10,462.08,2.676,NA,NA
Balimela Reservoir,Godavari Basin,NA,CWC,18.22494359,82.20423569,2022-10-10,2022,10,462.08,2.676,NA,NA
Balimela Reservoir,Godavari Basin,NA,CWC,18.22494359,82.20423569,2022-10-17,2022,10,462.08,2.676,NA,NA
Balimela Reservoir,Godavari Basin,NA,CWC,18.22494359,82.20423569,2022-10-18,2022,10,462.08,2.676,NA,NA
Balimela Reservoir,Godavari Basin,NA,CWC,18.22494359,82.20423569,2022-10-22,2022,10,462.08,2.676,NA,NA
Ban Sagar,Ganga Basin,NA,CWC,24.11161168,81.09238214,2022-10-09,2022,10,341.64,5.166,NA,NA
Ban Sagar,Ganga Basin,NA,CWC,24.11161168,81.09238214,2022-10-10,2022,10,341.64,5.166,NA,NA
Ban Sagar,Ganga Basin,NA,CWC,24.11161168,81.09238214,2022-10-15,2022,10,341.64,5.166,NA,NA
Ban Sagar,Ganga Basin,NA,CWC,24.11161168,81.09238214,2022-10-17,2022,10,341.64,5.166,NA,NA
Ban Sagar,Ganga Basin,NA,CWC,24.11161168,81.09238214,2022-10-22,2022,10,341.64,5.166,NA,NA
Ban Sagar,Ganga Basin,NA,CWC,24.11161168,81.09238214,2022-10-27,2022,10,341.64,5.166,4.96194,341.55
Bargi\Rani Avanti Bai Sagar,Narmada Basin,NA,CWC,22.83846247,80.03685961,2022-10-05,2022,10,422.76,3.18,3.171,422.7
Bargi\Rani Avanti Bai Sagar,Narmada Basin,NA,CWC,22.83846247,80.03685961,2022-10-08,2022,10,422.76,3.18,3.171,422.76
Bargi\Rani Avanti Bai Sagar,Narmada Basin,NA,CWC,22.83846247,80.03685961,2022-10-13,2022,10,422.76,3.18,3.171,423.1
Bargi\Rani Avanti Bai Sagar,Narmada Basin,NA,CWC,22.83846247,80.03685961,2022-10-17,2022,10,422.76,3.18,3.171,422.95
Bargi\Rani Avanti Bai Sagar,Narmada Basin,NA,CWC,22.83846247,80.03685961,2022-10-18,2022,10,422.76,3.18,3.171,422.95
Bargi\Rani Avanti Bai Sagar,Narmada Basin,NA,CWC,22.83846247,80.03685961,2022-10-19,2022,10,422.76,3.18,3.171,423
Bargi\Rani Avanti Bai Sagar,Narmada Basin,NA,CWC,22.83846247,80.03685961,2022-10-20,2022,10,422.76,3.18,3.171,423
Bargi\Rani Avanti Bai Sagar,Narmada Basin,NA,CWC,22.83846247,80.03685961,2022-10-22,2022,10,422.76,3.18,3.171,423
Bargi\Rani Avanti Bai Sagar,Narmada Basin,NA,CWC,22.83846247,80.03685961,2022-10-28,2022,10,422.76,3.18,3.171,422.95
Bargi\Rani Avanti Bai Sagar,Narmada Basin,NA,CWC,22.83846247,80.03685961,2022-10-29,2022,10,422.76,3.18,3.171,422.95
Barna,Narmada Basin,NA,CWC,23.07370541,78.03031691,2022-10-12,2022,10,348.55,0.456,0.45437,348.53
Barna,Narmada Basin,NA,CWC,23.07370541,78.03031691,2022-10-18,2022,10,348.55,0.456,0.4558,348.55
Barna,Narmada Basin,NA,CWC,23.07370541,78.03031691,2022-10-19,2022,10,348.55,0.456,0.4558,348.55
Barna,Narmada Basin,NA,CWC,23.07370541,78.03031691,2022-10-27,2022,10,348.55,0.456,0.44864,348.46
Bhadar Reservoir,West flowing rivers of Kutch and Saurashtra including Luni Basin,NA,CWC,21.81878581,70.80816294,2022-10-06,2022,10,107.89,0.188,0.18791,107.9
Bhadar Reservoir,West flowing rivers of Kutch and Saurashtra including Luni Basin,NA,CWC,21.81878581,70.80816294,2022-10-09,2022,10,107.89,0.188,0.18791,107.9
